 	Area	Mean	Min	Max
1	4048	2761.580	1998	3123
2	4048	2765.155	2030	3123
3	4048	2761.881	2034	3135
4	4048	2759.916	2018	3118
5	4048	2759.442	2020	3132
6	4048	2760.452	2022	3129
7	4048	2760.493	2019	3120
8	4048	2761.446	1995	3130
9	4048	2760.954	2009	3144
10	4048	2759.060	1987	3142
11	4048	2754.656	2043	3112
12	4048	2753.746	2064	3127
13	4048	2751.771	2009	3131
14	4048	2752.366	2003	3100
15	4048	2754.147	2014	3134
16	4048	2753.529	1993	3125
17	4048	2752.428	1996	3116
18	4048	2750.657	2001	3097
19	4048	2747.935	1997	3114
20	4048	2745.174	2016	3107
21	4048	2742.580	2016	3106
22	4048	2742.832	2034	3114
23	4048	2742.557	2002	3122
24	4048	2742.906	1987	3115
25	4048	2741.714	1993	3109
26	4048	2740.106	1995	3125
27	4048	2738.413	2005	3153
28	4048	2735.411	2007	3106
29	4048	2732.475	2036	3098
30	4048	2730.638	2025	3094
31	4048	2730.663	1976	3112
32	4048	2731.587	1951	3112
33	4048	2731.189	1901	3111
34	4048	2730.370	1966	3110
35	4048	2728.198	1985	3089
36	4048	2725.765	2014	3088
37	4048	2721.780	2000	3092
38	4048	2720.915	1992	3114
39	4048	2721.315	1970	3075
40	4048	2721.473	1877	3081
41	4048	2721.230	1942	3083
42	4048	2723.026	1946	3119
43	4048	2720.500	1913	3099
44	4048	2717.213	1948	3066
45	4048	2713.446	1967	3085
46	4048	2711.997	1959	3072
47	4048	2711.183	1965	3056
48	4048	2711.433	1982	3053
49	4048	2711.212	1953	3075
50	4048	2711.119	1932	3092
51	4048	2709.477	1930	3055
52	4048	2708.409	1936	3071
53	4048	2706.259	1969	3060
54	4048	2703.275	1964	3058
55	4048	2702.430	1946	3055
56	4048	2700.398	1913	3049
57	4048	2700.213	1903	3055
58	4048	2699.419	1851	3053
59	4048	2699.143	1847	3059
60	4048	2697.837	1878	3061
61	4048	2696.170	1902	3043
62	4048	2694.081	1903	3039
63	4048	2691.344	1887	3042
64	4048	2691.388	1882	3053
65	4048	2691.679	1875	3071
66	4048	2690.909	1819	3044
67	4048	2690.068	1815	3057
68	4048	2688.506	1789	3057
69	4048	2685.837	1868	3045
70	4048	2685.904	1913	3055
71	4048	2683.993	1908	3040
72	4048	2682.345	1856	3049
73	4048	2680.240	1853	3036
74	4048	2680.423	1790	3035
75	4048	2679.356	1847	3042
76	4048	2678.581	1853	3030
77	4048	2678.644	1875	3036
78	4048	2676.186	1878	3035
79	4048	2673.630	1912	3036
80	4048	2672.326	1854	3032
81	4048	2671.436	1860	3037
82	4048	2668.810	1837	3050
83	4048	2667.278	1780	3035
84	4048	2666.503	1835	3031
85	4048	2664.785	1802	3033
86	4048	2665.097	1813	3022
87	4048	2662.990	1829	3024
88	4048	2660.732	1849	3026
89	4048	2658.313	1803	3030
90	4048	2656.814	1789	3044
91	4048	2655.592	1797	3007
92	4048	2654.165	1795	3027
93	4048	2653.858	1769	3020
94	4048	2652.097	1787	3016
95	4048	2650.433	1836	3025
96	4048	2648.586	1818	3017
97	4048	2648.300	1812	3010
98	4048	2645.458	1820	3010
99	4048	2643.986	1796	3008
100	4048	2642.223	1773	3018
101	4048	2640.480	1762	3011
102	4048	2640.128	1792	3028
103	4048	2638.509	1820	3020
104	4048	2637.433	1785	2997
105	4048	2636.144	1804	3013
106	4048	2634.450	1822	2994
107	4048	2631.992	1747	2991
108	4048	2631.068	1773	3001
109	4048	2628.407	1760	2992
110	4048	2629.432	1745	2993
111	4048	2628.890	1753	2989
112	4048	2627.371	1785	3000
113	4048	2625.214	1785	2999
114	4048	2623.437	1759	2999
115	4048	2621.847	1754	3003
116	4048	2618.809	1701	2976
117	4048	2615.801	1708	2993
118	4048	2615.114	1739	2987
119	4048	2615.864	1742	3007
120	4048	2615.220	1740	2994
121	4048	2614.290	1744	2976
122	4048	2612.109	1797	2974
123	4048	2610.431	1763	2986
124	4048	2608.644	1755	2976
125	4048	2606.807	1728	2988
126	4048	2604.160	1704	2985
127	4048	2603.489	1738	2993
128	4048	2602.834	1753	2980
129	4048	2601.665	1772	2974
130	4048	2599.979	1783	2960
131	4048	2597.178	1761	2973
132	4048	2595.668	1753	2963
133	4048	2592.351	1708	2964
134	4048	2589.496	1727	2969
135	4048	2588.773	1739	2958
136	4048	2589.663	1723	2996
137	4048	2589.448	1733	2943
138	4048	2587.596	1789	2969
139	4048	2584.749	1754	2952
140	4048	2581.745	1748	2956
141	4048	2578.757	1695	2943
142	4048	2576.192	1704	2943
143	4048	2575.386	1689	2972
144	4048	2574.418	1691	2963
145	4048	2574.713	1688	2953
146	4048	2575.150	1696	2945
147	4048	2573.426	1703	2978
148	4048	2570.873	1718	2946
149	4048	2567.035	1689	2947
150	4048	2563.096	1649	2973
151	4048	2561.744	1675	2954
152	4048	2560.246	1669	2946
153	4048	2560.596	1694	2943
154	4048	2560.738	1703	2929
155	4048	2560.781	1752	2923
156	4048	2558.258	1731	2910
157	4048	2554.577	1714	2932
158	4048	2549.140	1719	2930
159	4048	2545.740	1680	2931
160	4048	2546.125	1666	2939
161	4048	2545.715	1709	2923
162	4048	2547.710	1762	2920
163	4048	2547.083	1738	2945
164	4048	2546.476	1761	2921
165	4048	2541.793	1739	2918
166	4048	2537.620	1720	2928
167	4048	2533.506	1724	2948
168	4048	2531.067	1688	2955
169	4048	2531.133	1697	2915
170	4048	2532.738	1703	2912
171	4048	2533.285	1735	2918
172	4048	2531.686	1723	2913
173	4048	2527.085	1735	2903
174	4048	2524.207	1690	2936
175	4048	2519.887	1660	2925
176	4048	2516.547	1667	2908
177	4048	2515.406	1664	2892
178	4048	2516.583	1693	2905
179	4048	2517.265	1719	2922
180	4048	2516.942	1728	2919
181	4048	2513.839	1750	2895
182	4048	2510.276	1736	2898
183	4048	2506.076	1692	2892
184	4048	2502.639	1686	2920
185	4048	2500.409	1674	2899
186	4048	2500.042	1692	2889
187	4048	2501.026	1743	2886
188	4048	2501.087	1751	2888
189	4048	2500.339	1746	2889
190	4048	2497.285	1755	2885
191	4048	2492.624	1719	2886
192	4048	2486.889	1721	2882
193	4048	2483.409	1687	2902
194	4048	2482.024	1685	2909
195	4048	2483.064	1705	2885
196	4048	2485.956	1741	2879
197	4048	2485.487	1755	2867
198	4048	2483.088	1740	2860
199	4048	2478.442	1731	2859
200	4048	2473.387	1696	2867
201	4048	2468.277	1657	2883
202	4048	2467.151	1694	2870
203	4048	2467.931	1700	2879
204	4048	2471.131	1744	2868
205	4048	2473.033	1760	2850
206	4048	2470.889	1769	2864
